NCESSCH,LEAID,ST_LEAID,LEA_NAME,SCH_NAME,LSTREET1,LCITY,LSTATE,LZIP,PHONE,CHARTER_TEXT,VIRTUAL,GSLO,GSHI,SCHOOL_LEVEL,SCHOOL_TYPE_TEXT,SY_STATUS_TEXT,ULOCALE,NMCNTY,LATCOD,LONCOD
360000800192,3600008,NY-580235060000,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,BELLPORT MIDDLE SCHOOL,35 KREAMER ST,BELLPORT,NY,11713,(631)730-1626,No,Not Virtual,6,8,Middle,Regular School,Currently operational,21-Suburb: Large,Suffolk County,40.7601,-72.9419
360000800193,3600008,NY-580235060000,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,BELLPORT SENIOR HIGH SCHOOL,205 BEAVER DAM RD,BROOKHAVEN,NY,11719,(631)730-1575,No,Not Virtual,9,12,High,Regular School,Currently operational,21-Suburb: Large,Suffolk County,40.7745,-72.9229
360000800194,3600008,NY-580235060000,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,BROOKHAVEN ELEMENTARY SCHOOL,101 FIREPLACE NECK RD,BROOKHAVEN,NY,11719,(631)730-1700,No,Not Virtual,PK,3,Elementary,Regular School,Currently operational,21-Suburb: Large,Suffolk County,40.776,-72.9134
360000800195,3600008,NY-580235060000,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,FRANK P LONG INTERMEDIATE SCHOOL,599 BROOKHAVEN AVE,BELLPORT,NY,11713,(631)730-1725,No,Not Virtual,4,5,Elementary,Regular School,Currently operational,21-Suburb: Large,Suffolk County,40.7806,-72.9394
360000800196,3600008,NY-580235060000,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,KREAMER STREET ELEMENTARY SCHOOL,37 KREAMER ST,BELLPORT,NY,11713,(631)730-1650,No,Not Virtual,KG,3,Elementary,Regular School,Currently operational,21-Suburb: Large,Suffolk County,40.7605,-72.9436
360000800197,3600008,NY-580235060000,SOUTH COUNTRY CENTRAL SCHOOL DISTRICT,VERNE W CRITZ ELEMENTARY SCHOOL,185 DUNTON AVE,EAST PATCHOGUE,NY,11772,(631)730-1675,No,Not Virtual,KG,3,Elementary,Regular School,Currently operational,21-Suburb: Large,Suffolk County,40.763,-72.9627
360000904666,3600009,NY-091402060000,SARANAC CENTRAL SCHOOL DISTRICT,MORRISONVILLE ELEMENTARY SCHOOL,47 SAND RD,MORRISONVILLE,NY,12962,(518)565-5980,No,Not Virtual,PK,5,Elementary,Regular School,Currently operational,32-Town: Distant,Clinton County,44.6911,-73.5716
360000904668,3600009,NY-091402060000,SARANAC CENTRAL SCHOOL DISTRICT,SARANAC ELEMENTARY SCHOOL,18 PICKETTS CRNRS RD,SARANAC,NY,12981,(518)565-5900,No,Not Virtual,PK,5,Elementary,Regular School,Currently operational,42-Rural: Distant,Clinton County,44.6633,-73.7311
360000904669,3600009,NY-091402060000,SARANAC CENTRAL SCHOOL DISTRICT,SARANAC HIGH SCHOOL,60 PICKETTS CRNRS RD,SARANAC,NY,12981,(518)565-5800,No,Not Virtual,9,12,High,Regular School,Currently operational,42-Rural: Distant,Clinton County,44.666,-73.73
360000904670,3600009,NY-091402060000,SARANAC CENTRAL SCHOOL DISTRICT,SARANAC MIDDLE SCHOOL,70 PICKETTS CRNRS RD,SARANAC,NY,12981,(518)565-5700,No,Not Virtual,6,8,Middle,Regular School,Currently operational,42-Rural: Distant,Clinton County,44.6665,-73.7297
360001000277,3600010,NY-541102060000,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,WILLIAM H GOLDING MIDDLE SCHOOL,193 GOLDING DR,COBLESKILL,NY,12043,(518)234-4032,No,Not Virtual,6,9,Middle,Regular School,Currently operational,32-Town: Distant,Schoharie County,42.680228,-74.496804
360001000564,3600010,NY-541102060000,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,GEORGE D RYDER ELEMENTARY SCHOOL,143 GOLDING DR,COBLESKILL,NY,12043,(518)234-4032,No,Not Virtual,PK,3,Elementary,Regular School,Currently operational,32-Town: Distant,Schoharie County,42.6794,-74.499
360001000566,3600010,NY-541102060000,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,COBLESKILL-RICHMONDVILLE HIGH SCHOOL,1353 STATE RT 7,RICHMONDVILLE,NY,12149,(518)234-4032,No,Not Virtual,9,12,High,Regular School,Currently operational,41-Rural: Fringe,Schoharie County,42.6526,-74.5281
360001001014,3600010,NY-541102060000,COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT,JOSEPH B RADEZ ELEMENTARY SCHOOL,319 MAIN ST,RICHMONDVILLE,NY,12149,(518)234-4032,No,Not Virtual,3,5,Elementary,Regular School,Currently operational,32-Town: Distant,Schoharie County,42.6356,-74.5603
360001101020,3600011,NY-573002040000,WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,WAYLAND-COHOCTON HIGH SCHOOL,2350 RT 63,WAYLAND,NY,14572,(585)728-2366,No,Not Virtual,9,12,High,Regular School,Currently operational,42-Rural: Distant,Steuben County,42.563399,-77.600453
360001101026,3600011,NY-573002040000,WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,WAYLAND ELEMENTARY SCHOOL,2350 RT 63,WAYLAND,NY,14572,(585)728-3547,No,Not Virtual,KG,4,Elementary,Regular School,Currently operational,42-Rural: Distant,Steuben County,42.563399,-77.600453
360001101042,3600011,NY-573002040000,WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,WAYLAND-COHOCTON MIDDLE SCHOOL,2350 RT 63,WAYLAND,NY,14572,(585)728-2551,No,Not Virtual,5,8,Middle,Regular School,Currently operational,42-Rural: Distant,Steuben County,42.563399,-77.600453
360001101445,3600011,NY-573002040000,WAYLAND-COHOCTON CENTRAL SCHOOL DISTRICT,COHOCTON ELEMENTARY SCHOOL,30 PARK AVE,COHOCTON,NY,14826,(585)384-5234,No,Not Virtual,PK,PK,Prekindergarten,Regular School,Currently operational,42-Rural: Distant,Steuben County,42.497401,-77.500348
360001201092,3600012,NY-022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL,100 SCHOOL ST,BOLIVAR,NY,14715,(585)928-2561,No,Not Virtual,6,12,High,Regular School,Currently operational,42-Rural: Distant,Allegany County,42.066095,-78.160184
360001201101,3600012,NY-022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,BOLIVAR-RICHBURG ELEMENTARY SCHOOL,211 MAIN ST,RICHBURG,NY,14774,(585)928-1380,No,Not Virtual,PK,5,Elementary,Regular School,Currently operational,42-Rural: Distant,Allegany County,42.088707,-78.153655
360001201103,3600012,NY-022902040000,BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT,BOLIVAR-RICHBURG PRE-K PROGRAM,422 MAIN ST,BOLIVAR,NY,14715,(585)928-1380,No,Not Virtual,PK,PK,Prekindergarten,Regular School,Currently operational,42-Rural: Distant,Allegany County,42.064867,-78.167659
360001301154,3600013,NY-251400010000,ONEIDA CITY SCHOOL DISTRICT,DURHAMVILLE SCHOOL,5462 MAIN ST,DURHAMVILLE,NY,13054,(315)363-8065,No,Not Virtual,KG,5,Elementary,Regular School,Currently operational,32-Town: Distant,Oneida County,43.1277,-75.6765
360001301160,3600013,NY-251400010000,ONEIDA CITY SCHOOL DISTRICT,NORTH BROAD STREET SCHOOL,230 N BROAD ST,ONEIDA,NY,13421,(315)363-3650,No,Not Virtual,KG,5,Elementary,Regular School,Currently operational,32-Town: Distant,Madison County,43.0981,-75.6559
360001301167,3600013,NY-251400010000,ONEIDA CITY SCHOOL DISTRICT,SENECA STREET SCHOOL,436 SENECA ST,ONEIDA,NY,13421,(315)363-3930,No,Not Virtual,KG,5,Elementary,Regular School,Currently operational,32-Town: Distant,Madison County,43.0858,-75.6534
360001301171,3600013,NY-251400010000,ONEIDA CITY SCHOOL DISTRICT,W F PRIOR ELEMENTARY SCHOOL,205 EAST AVE,ONEIDA,NY,13421,(315)363-2190,No,Not Virtual,PK,5,Elementary,Regular School,Currently operational,32-Town: Distant,Madison County,43.0907,-75.6461
360001301176,3600013,NY-251400010000,ONEIDA CITY SCHOOL DISTRICT,OTTO L SHORTELL MIDDLE SCHOOL,MARKELL DR,WAMPSVILLE,NY,13163,(315)363-1050,No,Not Virtual,6,8,Middle,Regular School,Currently operational,32-Town: Distant,Madison County,43.0804,-75.7058
360001301199,3600013,NY-251400010000,ONEIDA CITY SCHOOL DISTRICT,ONEIDA SENIOR HIGH SCHOOL,560 SENECA ST,ONEIDA,NY,13421,(315)363-6901,No,Not Virtual,9,12,High,Regular School,Currently operational,32-Town: Distant,Madison County,43.0809,-75.6539
360001401425,3600014,NY-561006060000,WATERLOO CENTRAL SCHOOL DISTRICT,WATERLOO HIGH SCHOOL,96 STARK ST,WATERLOO,NY,13165,(315)539-1550,No,Not Virtual,9,12,High,Regular School,Currently operational,32-Town: Distant,Seneca County,42.9135,-76.87
360001401428,3600014,NY-561006060000,WATERLOO CENTRAL SCHOOL DISTRICT,LA FAYETTE SCHOOL,71 INSLEE ST,WATERLOO,NY,13165,(315)539-1530,No,Not Virtual,3,5,Elementary,Regular School,Currently operational,32-Town: Distant,Seneca County,42.9081,-76.8516
360001401431,3600014,NY-561006060000,WATERLOO CENTRAL SCHOOL DISTRICT,WATERLOO MIDDLE SCHOOL,65 CENTER ST,WATERLOO,NY,13165,(315)539-1540,No,Not Virtual,6,8,Middle,Regular School,Currently operational,32-Town: Distant,Seneca County,42.9127,-76.8696
360001401442,3600014,NY-561006060000,WATERLOO CENTRAL SCHOOL DISTRICT,SKOI-YASE SCHOOL,65 FAYETTE ST,WATERLOO,NY,13165,(315)539-1520,No,Not Virtual,PK,2,Elementary,Regular School,Currently operational,32-Town: Distant,Seneca County,42.8959,-76.8625
360001500052,3600015,NY-040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,ALLEGANY-LIMESTONE ELEMENTARY SCHOOL,120 MAPLE AVE,ALLEGANY,NY,14706,(716)375-6600,No,Not Virtual,PK,5,Elementary,Regular School,Currently operational,33-Town: Remote,Cattaraugus County,42.0952,-78.4915
360001500053,3600015,NY-040302060000,ALLEGANY-LIMESTONE CENTRAL SCHOOL DISTRICT,ALLEGANY-LIMESTONE MIDDLE-HIGH SCHOOL,3131 FIVE MILE RD,ALLEGANY,NY,14706,(716)375-6600,No,Not Virtual,6,12,High,Regular School,Currently operational,41-Rural: Fringe,Cattaraugus County,42.132035,-78.504158
360001600110,3600016,NY-491302060000,AVERILL PARK CENTRAL SCHOOL DISTRICT,ALGONQUIN MIDDLE SCHOOL,333 NY RT 351,AVERILL PARK,NY,12018,(518)674-7100,No,Not Virtual,6,8,Middle,Regular School,Currently operational,41-Rural: Fringe,Rensselaer County,42.663607,-73.58222
360001600111,3600016,NY-491302060000,AVERILL PARK CENTRAL SCHOOL DISTRICT,AVERILL PARK HIGH SCHOOL,146 GETTLE RD,AVERILL PARK,NY,12018,(518)674-7000,No,Not Virtual,9,12,High,Regular School,Currently operational,41-Rural: Fringe,Rensselaer County,42.644669,-73.572643
360001600113,3600016,NY-491302060000,AVERILL PARK CENTRAL SCHOOL DISTRICT,POESTENKILL ELEMENTARY SCHOOL,1 SCHOOL RD,POESTENKILL,NY,12140,(518)674-7125,No,Not Virtual,KG,5,Elementary,Regular School,Currently operational,41-Rural: Fringe,Rensselaer County,42.690038,-73.569759
360001600114,3600016,NY-491302060000,AVERILL PARK CENTRAL SCHOOL DISTRICT,MILLER HILL SCHOOL,8439 MILLER HILL RD,AVERILL PARK,NY,12018,(518)674-7075,No,Not Virtual,KG,5,Elementary,Regular School,Currently operational,41-Rural: Fringe,Rensselaer County,42.638276,-73.54347
360001600115,3600016,NY-491302060000,AVERILL PARK CENTRAL SCHOOL DISTRICT,WEST SAND LAKE ELEMENTARY SCHOOL,24 MEELER RD,WEST SAND LAKE,NY,12196,(518)674-7175,No,Not Virtual,KG,5,Elementary,Regular School,Currently operational,41-Rural: Fringe,Rensselaer County,42.641522,-73.608986
360001701925,3600017,NY-020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,GENESEE VALLEY CENTRAL SCHOOL,1 JAGUAR DR,BELMONT,NY,14813,(585)268-7900,No,Not Virtual,PK,12,Other,Regular School,Currently operational,42-Rural: Distant,Allegany County,42.2335,-78.0321
360001706539,3600017,NY-020702040000,GENESEE VALLEY CENTRAL SCHOOL DISTRICT,ALLEGANY CO SHERIFF C/O TREASURER,COURT HOUSE,BELMONT,NY,14813,(585)268-9208,No,Not Reported,M,M,Not reported,Alternative Education School,School temporarily closed,42-Rural: Distant,Allegany County,42.224874,-78.033208
360001801936,3600018,NY-060503040000,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,CHAUTAUQUA LAKE SECONDARY SCHOOL,100 N ERIE ST,MAYVILLE,NY,14757,(716)753-5882,No,Not Virtual,7,12,High,Regular School,Currently operational,42-Rural: Distant,Chautauqua County,42.2581,-79.5147
360001801938,3600018,NY-060503040000,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,CHAUTAUQUA LAKE ELEMENTARY SCHOOL,100 N ERIE ST,MAYVILLE,NY,14757,(716)753-5841,No,Not Virtual,PK,6,Elementary,Regular School,Currently operational,42-Rural: Distant,Chautauqua County,42.2581,-79.5147
360001806526,3600018,NY-060503040000,CHAUTAUQUA LAKE CENTRAL SCHOOL DISTRICT,CHAUTAUQUA COUNTY JAIL,15 EAST CHAUTAUQUA ST,MAYVILLE,NY,14757,(716)753-4935,No,Not Reported,M,M,Not reported,Alternative Education School,School temporarily closed,42-Rural: Distant,Chautauqua County,42.2545,-79.5039
360001901976,3600019,NY-081003040000,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,UNADILLA VALLEY SECONDARY SCHOOL,4238 STATE HWY 8,NEW BERLIN,NY,13411,(607)847-7500,No,Not Virtual,3,12,Other,Regular School,Currently operational,42-Rural: Distant,Chenango County,42.581228,-75.334456
360001906369,3600019,NY-081003040000,UNADILLA VALLEY CENTRAL SCHOOL DISTRICT,UNADILLA VALLEY ELEMENTARY SCHOOL,4238 STATE HWY 8,NEW BERLIN,NY,13411,(607)847-7500,No,Not Virtual,PK,6,Elementary,Regular School,Currently operational,42-Rural: Distant,Chenango County,42.581228,-75.334456
360002000325,3600020,NY-570603040000,CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,CAMPBELL-SAVONA ELEMENTARY SCHOOL,64 E LAMOKA AVE,SAVONA,NY,14879,(607)527-9800,No,Not Virtual,PK,6,Elementary,Regular School,Currently operational,42-Rural: Distant,Steuben County,42.2883,-77.2137
360002000326,3600020,NY-570603040000,CAMPBELL-SAVONA CENTRAL SCHOOL DISTRICT,CAMPBELL-SAVONA JUNIOR/SENIOR HIGH SCHOOL,8455 COUNTY RT 125,CAMPBELL,NY,14821,(607)527-9800,No,Not Virtual,7,12,High,Regular School,Currently operational,42-Rural: Distant,Steuben County,42.2361,-77.2002
360002101704,3600021,NY-581012020000,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,MATTITUCK JUNIOR-SENIOR HIGH SCHOOL,15125 MAIN RD,MATTITUCK,NY,11952,(631)298-8460,No,Not Virtual,7,12,High,Regular School,Currently operational,21-Suburb: Large,Suffolk County,40.995538,-72.5276
360002101705,3600021,NY-581012020000,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,MATTITUCK-CUTCHOGUE ELEMENTARY SCHOOL,34900 MAIN RD,CUTCHOGUE,NY,11935,(631)734-6049,No,Not Virtual,KG,6,Elementary,Regular School,Currently operational,21-Suburb: Large,Suffolk County,41.026,-72.4716
360002301358,3600023,NY-591502040000,SULLIVAN WEST CENTRAL SCHOOL DISTRICT,SULLIVAN WEST HIGH SCHOOL AT LAKE HUNTINGTON,6604 STATE RT 52,LAKE HUNTINGTON,NY,12752,(845)932-8401,No,Not Virtual,7,12,High,Regular School,Currently operational,42-Rural: Distant,Sullivan County,41.6911,-74.9903
360002301493,3600023,NY-591502040000,SULLIVAN WEST CENTRAL SCHOOL DISTRICT,SULLIVAN WEST ELEMENTARY SCHOOL,33 SCHOOLHOUSE RD,JEFFERSONVILLE,NY,12748,(845)482-4610,No,Not Virtual,PK,6,Elementary,Regular School,Currently operational,42-Rural: Distant,Sullivan County,41.7799,-74.9401
360002404322,3600024,NY-042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,CATTARAUGUS-LITTLE VALLEY ELEMENTARY SCHOOL,25 N FRANKLIN ST,CATTARAUGUS,NY,14719,(716)257-3436,No,Not Virtual,PK,4,Elementary,Regular School,Currently operational,42-Rural: Distant,Cattaraugus County,42.33387,-78.859686
360002404324,3600024,NY-042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,CATTARAUGUS-LITTLE VALLEY HIGH SCHOOL,25 N FRANKLIN ST,CATTARAUGUS,NY,14719,(716)257-3483,No,Not Virtual,9,12,High,Regular School,Currently operational,42-Rural: Distant,Cattaraugus County,42.33387,-78.859686
360002404857,3600024,NY-042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,CATTARAUGUS-LITTLE VALLEY MIDDLE SCHOOL,25 N FRANKLIN ST,CATTARAUGUS,NY,14719,(716)257-3483,No,Not Virtual,5,8,Middle,Regular School,Currently operational,42-Rural: Distant,Cattaraugus County,42.33387,-78.859686
360002406680,3600024,NY-042302040000,CATTARAUGUS-LITTLE VALLEY CENTRAL SCHOOL DISTRICT,CATTARAUGUS COUNTY JAIL,301 COURT ST,LITTLE VALLEY,NY,14755,(716)938-2599,No,Not Reported,M,M,Not reported,Alternative Education School,School temporarily closed,42-Rural: Distant,Cattaraugus County,42.252126,-78.800333
360002504349,3600025,NY-142601860031,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,CHARTER SCHOOL FOR APPLIED TECHNOLOGIES,2303 KENMORE AVE,BUFFALO,NY,14207,(716)876-7505,Yes,Not Virtual,KG,12,Other,Regular School,Currently operational,21-Suburb: Large,Erie County,42.967545,-78.899355
360002604363,3600026,NY-261600860811,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,EUGENIO MARIA DE HOSTOS CHARTER SCHOOL,27 ZIMBRICH ST,ROCHESTER,NY,14621,(585)544-6170,Yes,Not Virtual,KG,12,Other,Regular School,Currently operational,12-City: Mid-size,Monroe County,43.1829,-77.6095
360002904376,3600029,NY-261600860826,GENESEE COMMUNITY CHARTER SCHOOL,GENESEE COMMUNITY CHARTER SCHOOL,657 EAST AVE,ROCHESTER,NY,14607,(585)697-1960,Yes,Not Virtual,KG,6,Elementary,Regular School,Currently operational,12-City: Mid-size,Monroe County,43.151562,-77.588718
360003004379,3600030,NY-280208860024,ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,ROOSEVELT CHILDREN'S ACADEMY CHARTER SCHOOL,105 PLEASANT AVE,ROOSEVELT,NY,11575,(516)867-6202,Yes,Not Virtual,KG,8,Elementary,Regular School,Currently operational,21-Suburb: Large,Nassau County,40.6744,-73.5848
360003204307,3600032,NY-010100860829,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,BRIGHTER CHOICE CHARTER SCHOOL FOR BOYS,116 N LAKE AVE,ALBANY,NY,12206,(518)694-8200,Yes,Not Virtual,KG,5,Elementary,Regular School,Currently operational,13-City: Small,Albany County,42.664112,-73.770124
360003304311,3600033,NY-010100860830,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,BRIGHTER CHOICE CHARTER SCHOOL FOR GIRLS,250 CENTRAL AVE,ALBANY,NY,12206,(518)694-4100,Yes,Not Virtual,KG,5,Elementary,Regular School,Currently operational,13-City: Small,Albany County,42.6631,-73.7712
360003504336,3600035,NY-140600860814,KING CENTER CHARTER SCHOOL,KING CENTER CHARTER SCHOOL,156 NEWBURGH AVE,BUFFALO,NY,14211,(716)891-7912,Yes,Not Virtual,KG,8,Elementary,Regular School,Currently operational,11-City: Large,Erie County,42.918918,-78.809205
360003604337,3600036,NY-140600860817,SOUTH BUFFALO CHARTER SCHOOL,SOUTH BUFFALO CHARTER SCHOOL,154 S OGDEN ST,BUFFALO,NY,14210,(716)826-7213,Yes,Not Virtual,KG,8,Elementary,Regular School,Currently operational,11-City: Large,Erie County,42.863002,-78.803501
360003804346,3600038,NY-140600860838,TAPESTRY CHARTER SCHOOL,TAPESTRY CHARTER SCHOOL,65 GREAT ARROW AVE,BUFFALO,NY,14216,(716)204-5883,Yes,Not Virtual,KG,12,Other,Regular School,Currently operational,11-City: Large,Erie County,42.942751,-78.870338
360003904439,3600039,NY-310400860806,AMBER CHARTER SCHOOL EAST HARLEM,AMBER CHARTER SCHOOL EAST HARLEM,220 E 106TH ST,NEW YORK,NY,10029,(212)534-9667,Yes,Not Virtual,KG,5,Elementary,Regular School,Currently operational,11-City: Large,New York County,40.7909,-73.9439
360004204466,3600042,NY-320900860807,BRONX PREPARATORY CHARTER SCHOOL,BRONX PREPARATORY CHARTER SCHOOL,3872 3RD AVE,BRONX,NY,10457,(718)294-0841,Yes,Not Virtual,KG,12,Other,Regular School,Currently operational,11-City: Large,Bronx County,40.839,-73.9001
360004504493,3600045,NY-331400860809,BROOKLYN CHARTER SCHOOL (THE),BROOKLYN CHARTER SCHOOL (THE),545 WILLOUGHBY AVE,BROOKLYN,NY,11206,(718)302-2085,Yes,Not Virtual,KG,5,Elementary,Regular School,Currently operational,11-City: Large,Kings County,40.694396,-73.947604
360004604487,3600046,NY-331300860810,COMMUNITY PARTNERSHIP CHARTER SCHOOL,COMMUNITY PARTNERSHIP CHARTER SCHOOL,241 EMERSON PL,BROOKLYN,NY,11205,(718)399-3824,Yes,Not Virtual,PK,8,Elementary,Regular School,Currently operational,11-City: Large,Kings County,40.690015,-73.961082
